Date,precipitation_sum,rain_sum,temperature_max,temperature_min,precipitation(nxt),rain_sum(nxt),temperature_max(nxt),temperature_min(nxt),precipitation(prev),rain_sum(prev),temperature_max(prev),temperature_min(prev),Holiday
2023-06-15,4.7,4.7,31.1,25.3,2.6,2.6,31.2,25.2,9.2,9.2,29.6,24.2,No
2023-06-16,2.6,2.6,31.2,25.2,5.7,5.7,30.3,24.3,4.7,4.7,31.1,25.3,No
2023-06-17,5.7,5.7,30.3,24.3,6,6,29.9,24.1,2.6,2.6,31.2,25.2,No
2023-06-18,6,6,29.9,24.1,6.8,6.8,29.6,23.3,5.7,5.7,30.3,24.3,No
2023-06-19,6.8,6.8,29.6,23.3,8,8,29.1,23.8,6,6,29.9,24.1,No
2023-06-20,8,8,29.1,23.8,5.4,5.4,30.5,24.2,6.8,6.8,29.6,23.3,No
2023-06-21,5.4,5.4,30.5,24.2,6.4,6.4,29.4,23.8,8,8,29.1,23.8,No
2023-06-22,6.4,6.4,29.4,23.8,4.1,4.1,29.3,23.8,5.4,5.4,30.5,24.2,No
2023-06-23,4.1,4.1,29.3,23.8,3,3,30.5,23.3,6.4,6.4,29.4,23.8,No
2023-06-24,3,3,30.5,23.3,28.7,28.7,28.6,23.4,4.1,4.1,29.3,23.8,No
2023-06-25,28.7,28.7,28.6,23.4,13.5,13.5,29.3,23.9,3,3,30.5,23.3,No
2023-06-26,13.5,13.5,29.3,23.9,46.7,46.7,26.5,23.3,28.7,28.7,28.6,23.4,No
2023-06-27,46.7,46.7,26.5,23.3,7.8,7.8,29.7,23,13.5,13.5,29.3,23.9,No
2023-06-28,7.8,7.8,29.7,23,18.9,18.9,26.9,23.3,46.7,46.7,26.5,23.3,No
2023-06-29,18.9,18.9,26.9,23.3,6.4,6.4,29.7,23.3,7.8,7.8,29.7,23,No
2023-06-30,6.4,6.4,29.7,23.3,5.7,5.7,30.6,24.1,18.9,18.9,26.9,23.3,No
2023-07-01,5.7,5.7,30.6,24.1,16.6,16.6,29.2,23.9,6.4,6.4,29.7,23.3,No
2023-07-02,16.6,16.6,29.2,23.9,23.9,23.9,27.3,23.2,5.7,5.7,30.6,24.1,No
2023-07-03,23.9,23.9,27.3,23.2,61.4,61.4,26.1,23.3,16.6,16.6,29.2,23.9,No
2023-07-04,61.4,61.4,26.1,23.3,92.3,92.3,25.4,23.7,23.9,23.9,27.3,23.2,Yes
2023-07-05,92.3,92.3,25.4,23.7,60.3,60.3,25.2,23.3,61.4,61.4,26.1,23.3,Yes
2023-07-06,60.3,60.3,25.2,23.3,36.7,36.7,25.4,22.9,92.3,92.3,25.4,23.7,No
2023-07-07,36.7,36.7,25.4,22.9,21.9,21.9,27.6,23.1,60.3,60.3,25.2,23.3,No
2023-07-08,21.9,21.9,27.6,23.1,1.6,1.6,29.8,22.8,36.7,36.7,25.4,22.9,No
2023-07-09,1.6,1.6,29.8,22.8,6.4,6.4,29.4,23.8,21.9,21.9,27.6,23.1,No
2023-07-10,6.4,6.4,29.4,23.8,10.2,10.2,28.3,22.9,1.6,1.6,29.8,22.8,No
2023-07-11,10.2,10.2,28.3,22.9,7.1,7.1,29.1,23.1,6.4,6.4,29.4,23.8,No
2023-07-12,7.1,7.1,29.1,23.1,19.3,19.3,28,23.1,10.2,10.2,28.3,22.9,No
2023-07-13,19.3,19.3,28,23.1,2.3,2.3,28.5,23.6,7.1,7.1,29.1,23.1,No
2023-07-14,2.3,2.3,28.5,23.6,10.8,10.8,28.8,23.8,19.3,19.3,28,23.1,No
2023-07-15,10.8,10.8,28.8,23.8,4.9,4.9,30.1,24.3,2.3,2.3,28.5,23.6,No
2023-07-16,4.9,4.9,30.1,24.3,3.6,3.6,28.9,24,10.8,10.8,28.8,23.8,No
2023-07-17,3.6,3.6,28.9,24,8.1,8.1,28.8,23.8,4.9,4.9,30.1,24.3,No
2023-07-18,8.1,8.1,28.8,23.8,9.4,9.4,28.8,23.6,3.6,3.6,28.9,24,No
2023-07-19,9.4,9.4,28.8,23.6,5.3,5.3,30,23.2,8.1,8.1,28.8,23.8,No
2023-07-20,5.3,5.3,30,23.2,5.4,5.4,29.1,23.7,9.4,9.4,28.8,23.6,No
2023-07-21,5.4,5.4,29.1,23.7,17.8,17.8,28.4,23.2,5.3,5.3,30,23.2,No
2023-07-22,17.8,17.8,28.4,23.2,30.3,30.3,27.7,22.8,5.4,5.4,29.1,23.7,No
2023-07-23,30.3,30.3,27.7,22.8,27.6,27.6,28,22.9,17.8,17.8,28.4,23.2,No
2023-07-24,27.6,27.6,28,22.9,17.2,17.2,28.1,22.7,30.3,30.3,27.7,22.8,No
2023-07-25,17.2,17.2,28.1,22.7,9.5,9.5,28.2,22.5,27.6,27.6,28,22.9,No
2023-07-26,9.5,9.5,28.2,22.5,14.9,14.9,29.6,23,17.2,17.2,28.1,22.7,No
2023-07-27,14.9,14.9,29.6,23,1.3,1.3,29.6,23.1,9.5,9.5,28.2,22.5,No
2023-07-28,1.3,1.3,29.6,23.1,0.6,0.6,30.2,23.5,14.9,14.9,29.6,23,No
2023-07-29,0.6,0.6,30.2,23.5,1,1,29.5,23.5,1.3,1.3,29.6,23.1,No
2023-07-30,1,1,29.5,23.5,2.1,2.1,29.4,23.9,0.6,0.6,30.2,23.5,Yes
2023-07-31,2.1,2.1,29.4,23.9,1.1,1.1,30.1,23.6,1,1,29.5,23.5,No
2023-08-01,1.1,1.1,30.1,23.6,1.5,1.5,29.3,23.9,2.1,2.1,29.4,23.9,Yes
2023-08-02,1.5,1.5,29.3,23.9,4,4,29.8,24.3,1.1,1.1,30.1,23.6,Yes
2023-08-03,4,4,29.8,24.3,5.5,5.5,29.4,23.5,1.5,1.5,29.3,23.9,No
2023-08-04,5.5,5.5,29.4,23.5,1.9,1.9,29.6,23.1,4,4,29.8,24.3,No
2023-08-05,1.9,1.9,29.6,23.1,2.4,2.4,29.1,23.8,5.5,5.5,29.4,23.5,No
2023-08-06,2.4,2.4,29.1,23.8,0.7,0.7,30.2,24.3,1.9,1.9,29.6,23.1,No
2023-08-07,0.7,0.7,30.2,24.3,6.6,6.6,29.6,23.8,2.4,2.4,29.1,23.8,No
2023-08-08,6.6,6.6,29.6,23.8,1.2,1.2,30.9,23.9,0.7,0.7,30.2,24.3,No
2023-08-09,1.2,1.2,30.9,23.9,2.9,2.9,30.1,24.1,6.6,6.6,29.6,23.8,No
2023-08-10,2.9,2.9,30.1,24.1,1.7,1.7,31,24.6,1.2,1.2,30.9,23.9,No
2023-08-11,1.7,1.7,31,24.6,2.9,2.9,29.9,23.6,2.9,2.9,30.1,24.1,No
2023-08-12,2.9,2.9,29.9,23.6,1.1,1.1,29.5,24.4,1.7,1.7,31,24.6,No
2023-08-13,1.1,1.1,29.5,24.4,2,2,29.9,23.9,2.9,2.9,29.9,23.6,No
2023-08-14,2,2,29.9,23.9,0.3,0.3,30.7,22.7,1.1,1.1,29.5,24.4,No
